nome;jogo03;jogo09;jogo07;jogo10;jogo08;jogo01;jogo04;jogo06;jogo11;jogo02;jogo05;jogo12
moisesgabriel;0;Arroz carreteiro;Doce de leite;Cachorro quente;Espetinho de chocolate;0;0;Bolo de milho;;;;
w;0;0;Doce de leite;0;0;0;0;Bolo de milho;;;;
mathlewho;0;0;Doce de leite;Pastel (de carne ou de queijo);Pipoca caramelizada;0;0;Bolo de milho;;;;
e_hdss;Cocada branca;0;0;0;0;Bolo de mandioca;Chocolate quente;;;;;
rafaelcorsini;0;0;0;0;0;0;Chocolate quente;;;;;
caroline_jg;0;0;0;0;0;0;Crentéo;;;;;
amanda.000h;0;0;0;0;0;0;Caldo de cana;;;;;
andresol29;Cocada branca;0;0;0;0;0;Chocolate quente;;;;;
8’2;Cocada branca;0;0;0;0;0;Chocolate quente;;;;;
antonia.rob12;Cocada morena;0;0;0;0;Pamonha doce;;;;;;
lunziIO;Cocada morena;0;0;0;0;Bolo de coco;;;;;;
rafael.corsini;0;0;0;0;0;Bolo de fubé;;;;;;
raissakramer;0;0;0;0;0;Pamonha doce;;;;;;
samuelss‘l 5;0;0;0;0;0;Bolo de mandioca;;;;;;
anappeach;0;0;0;0;0;Bolo de mandioca;;;;;;
bruno_bmc;0;Galinhada;Pagoca;0;Espetinho de chocolate;;;;;;;
mariﬁdelisé;0;Galinhada;0;0;Algodéo doce;;;;;;;
lucascasabreu;0;Espetinho;Pagoca;Pastel (de carne ou de queijo);Espetinho de chocolate;;;;;;;
luc aguiarc;0;0;0;0;Magé do amor;;;;;;;
sa_alvees;0;Galinhada;0;Cachorro quente;;;;;;;;
jonaIasmedeirosjunior;0;0;0;Buraco quente;;;;;;;;
emily.souza.r;0;0;0;Salsichéo;;;;;;;;
taynara.freitas_;0;0;Doce de leite;;;;;;;;;
gm_murillo;0;0;Doce de leite;;;;;;;;;
rodsousag;0;0;Doce de leite;;;;;;;;;
caximas;0;0;Pagoca;;;;;;;;;
carvalho marco;0;0;Pagoca;;;;;;;;;
|iine_avila;0;Arroz carreteiro;;;;;;;;;;
alexander Imx;0;Espetinho;;;;;;;;;;
anlelamaral;0;Arroz carreteiro;;;;;;;;;;
lucasmartinsgsz3;0;Espetinho;;;;;;;;;;
ralssakramer;Pé de moleque;;;;;;;;;;;
kassiasayonara.amorim;Pé de moleque;;;;;;;;;;;
mlets;Cocada branca;;;;;;;;;;;
miguel_mh5090;Cocada morena;;;;;;;;;;;
